osca_code,occupation,alternative_titles,specialisations,lead_statement,registration_or_licensing,skill_level,main_tasks,mapped_anzsco_codes,mapped_anzsco_titles,mapping_types,qualification_count
432231,Teaching Assistant,Education Assistant; Education Support Officer; Learning Support Officer; Student Support Officer; Teacher Aide,School Services Officer; Student Liaison Officer,"Works under the guidance of teachers and other education professionals to improve learning and wellbeing outcomes for students. Employed in primary and secondary schools, as well as in schools for specific purposes and other education settings, to facilitate student learning and engagement.",Registration or licensing is required.,3,"Facilitates student learning in the classroom under the direction of a teacher; Provides targeted support to individuals and groups of students; Cares for students' social, emotional and physical needs; Promotes positive behaviour and wellbeing; Assists students to access the curriculum and participate fully in learning; Assists teachers and students with sporting activities and school excursions; Supports students in participating in extra-curricular activities",422113; 422114; 422116,Kaiāwhina Kohanga Reo (Māori Language Nest Assistant); Kaiāwhina Kura Kaupapa Māori (Māori-medium School Assistant); Teachers' Aide,partial,3
432931,Aboriginal and Torres Strait Islander Education Officer,Aboriginal and Torres Strait Islander Community Education Counsellor; Aboriginal and Torres Strait Islander Community Education Officer,Aboriginal and Torres Strait Islander Education Officer Coordinator,"Assists Aboriginal and Torres Strait Islander students in their education, and supports cultural awareness and community engagement. Provides feedback to parents or guardians and teachers about students' progress, and liaises with educational bodies, government agencies and committees.",,3,"Advises on cultural protocols on observing the cultural diversity of Aboriginal and Torres Strait Islander students; Assists Aboriginal and Torres Strait Islander students in all school activities, including excursions; Identifies and develops resources to support the learning outcomes of Aboriginal and Torres Strait Islander students; Coordinates the delivery of Aboriginal and Torres Strait Islander languages and cultures lessons; Acts as a liaison between the community and the school to develop education programs that are relevant to both educational and cultural needs; Assists in the development and implementation of personalised learning plans for Aboriginal and Torres Strait Islander students; Promotes Aboriginal and Torres Strait Islander celebrations within schools; Leads cultural group experiences with students",422111,Aboriginal and Torres Strait Islander Education Worker,full,5
432932,Boarding Supervisor,Boarding House Parent; Boarding House Supervisor; Boarding School Supervisor; House Parent,,Provides care and supervision for children and young people living in boarding schools and residential colleges.,,4,"Plans and supervises activities to enhance the physical, social, emotional and intellectual development of children and young people in boarding schools and residential colleges; Contributes to the provision of quality welfare and education services to children and young people in boarding schools and residential colleges; Develops and coordinates recreational, social and educational programs for residents; Provides pastoral care, and liaises with parents of residents about the progress of their child; Ensures residents adhere to set guidelines for daily schedules, school attendance, meals and other domestic activities; Maintains discipline and reinforces appropriate behaviour standards; Manages boarding processes, policies and procedures, in line with the residential facility's guidelines; Ensures a safe and secure environment that creates a friendly atmosphere by promoting trust and confidence in residents",423412,Hostel Parent,full,0
441131,Enrolled Nurse,,Enrolled Nurse (Acute Care); Enrolled Nurse (Aged Care); Enrolled Nurse (Mental Health); Enrolled Nurse (Primary Health Care),"Provides nursing care to patients in a variety of health, aged care, mental health, welfare and community settings under the supervision of Registered Nurses.",Registration or licensing is required.,2,"Performs physical exams, including checking patients' pulse, temperature, and blood pressure; Records and interprets clinical observations, including temperature, pulse and blood pressure, urine tests, blood glucose and other tests used in specific areas of practice; Provides basic wound care in line with an agreed patient care plan; Assists with the administration of medications under the supervision of a Registered Nurse; Provides patients with personal care activities such as bathing, dressing, grooming and eating; Provides first aid in medical emergencies; Works with Registered Nurses, doctors and other Health Professionals to create patient care plans; Participates in health promotion activities and community education",411411; 411412,Enrolled Nurse; Mothercraft Nurse,partial,2
441231,Massage Therapist,,Shiatsu Therapist; Thai Massage Therapist,"Performs therapeutic massage and administers body treatments for relaxation, health and general wellbeing.",,3,"Assesses clients' needs and preferences for massage therapy; Consults with clients to determine the most appropriate massage therapies; Massages the soft tissues of the body such as muscles, tendons and ligaments, to assist healing; Applies therapeutic massages to the soft tissues of the body to promote relaxation, relieve muscle tension and improve circulation; Provides advice to clients on relaxation techniques and stretching exercises; May perform other techniques to augment therapies, such as acupressure, infrared therapy, wet and heat compresses, essential oils, and herbal and mineral therapies; May administer body treatments such as exfoliation, wraps and hydrotherapy",411611,Massage Therapist,full,9
441232,Myotherapist,,,"Performs myotherapy treatment to alleviate the symptoms of pain associated with injury to the musculoskeletal and nervous systems, and to improve neurological and musculoskeletal function and functional capacity.",,2,"Administers neurological, musculoskeletal, orthopaedic and functional tests to identify and assess functional capacity, range of motion, limitations, injuries and ailments of patients; Formulates specific treatment plans, rehabilitation plans and homecare advice to address the specific needs of patients based on their assessment, presentation and needs; Administers treatments to reduce pain, improve physical and nervous system function and lymphatic flow, and support injury recovery and general health and wellbeing; Performs a broad range of techniques to identify underlying causes of musculoskeletal injuries, such as neural mobilisations, joint mobilisation, myofascial techniques, trigger point therapy, stretching therapy, dry needling, myofascial cupping, taping, heat therapy, ice therapy and electrotherapy; Performs manual therapy techniques on the soft tissues of the body, such as muscles, tendons, fascia, ligaments and nervous tissues; Recommends corrective exercise and exercise prescription for rehabilitation regarding biomechanical limitations; Provides advice and assistance in the application of therapeutic aids such as braces, supports and self-care devices; Designs, reviews, monitors and evaluates treatment programs and treatment plans; Records detailed patient medical histories, treatments delivered, and the patients' progress and responses to myotherapy treatments",411611,Massage Therapist,full,1
441233,Remedial Massage Therapist,,Chinese Massage Therapist (Tui Na); Sports Massage Therapist,"Performs remedial massage therapy to relieve pain and stress, and improve musculoskeletal function, circulation and movement.",,2,"Conducts physical assessment of clients' musculoskeletal and orthopaedic conditions to identify functional capacity, pain and associated stress; Consults with clients concerning remedial massage treatments and techniques; Administers remedial manual manipulation therapies involving the deep or shallow soft tissues of the body including muscles, tendons, fascia and ligaments; Administers treatments to remediate muscle tension and pain, improve circulation, reduce early onset muscle soreness, and facilitate movement and rehabilitation; Performs joint mobilisation, myofascial release techniques, trigger point therapy, stretching therapy, taping, heat therapy and ice therapy; Maintains detailed patient records, involving treatments, responses and progress, and provides client records for referrals to Health Practitioners; May use cupping, acupressure and essential oils when treating patients; May perform other techniques to assist recovery, such as transcutaneous electrical nerve stimulation, dry needling and movement-based therapies",411611,Massage Therapist,full,6
441331,Mental Health Worker,Mental Health Recovery Worker,Mental Health Recovery Peer Support Worker; Psychosocial Support Worker,"Assists individuals, families and groups with a range of mental health conditions, and those experiencing emotional difficulties, distress and crisis. Supports and empowers clients to improve their quality of life.",,2,"Assesses needs of individuals, families and groups, and supports them with recovery planning by helping them manage and adapt to the complex challenges of mental health; Provides coaching to increase recovery skills and personal capacity, including motivation, strengths, resilience and decision-making; Provides counselling to individuals or groups, and advocates for access to necessary services and resources; Develops and facilitates referrals to other useful services in the community; Prepares reports and maintains client records; Develops new services and mental health community programs, and educates families and community groups about mental health issues; Connects individuals to relevant services and activities in the community; May assist with making appointments and accompanying individuals to appointments or therapy sessions",272613,Welfare Worker,full,3
441931,Aboriginal and Torres Strait Islander Health Practitioner,,,"Provides culturally safe health care and clinical services to Aboriginal and Torres Strait Islander peoples, and advises members of health care teams on the cultural needs of clients.",Registration or licensing is required.,3,"Ensures members of health care teams are aware of clients' cultural needs when discussing treatment options, including relaying the importance of clients' connections to community and country; Provides operational leadership to Aboriginal and Torres Strait Islander Health Workers; Facilitates and participates in outreach health services; Completes comprehensive health assessments, including assessments for people presenting with chronic or communicable disease and acute conditions; Undertakes screening and triage activities; Develops, implements and supports self-management health programs; Provides primary health care to clients; Explains the purpose, benefits and risks of treatments to clients and their families in a culturally safe way; Prepares medications, collects blood samples, and administers diagnostic tests, vaccinations and first aid",411511,Aboriginal and Torres Strait Islander Health Worker,full,9
441932,Aboriginal and Torres Strait Islander Health Worker,,,Promotes community health through implementing culturally safe educational programs and assisting outreach health services for Aboriginal and Torres Strait Islander peoples.,,4,"Supports or undertakes health assessments; Implements community health education initiatives; Develops and evaluates primary health care programs for clients; Maintains clients' health records; Supports clients' awareness of, and participation in, necessary health care; Participates in outreach health services; Provides cultural education to Health Professionals who are not of Aboriginal or Torres Strait Islander background",411511,Aboriginal and Torres Strait Islander Health Worker,full,14
441933,Audiometrist,,,"Assesses hearing and auditory function, and provides rehabilitation for children and adults in a variety of health care settings.",,2,"Assesses and diagnoses client hearing loss using a wide range of techniques, including audiometric tests; Reports results of assessments and tests in writing, and makes referrals to other medical practitioners; Recommends options to those with hearing impairment, including tinnitus, fits non-implantable devices, hearing aids and other remote sensing systems, and provides aural rehabilitation programs; Provides information and advice to clients and their families about hearing loss management and rehabilitation",311299,Medical Technicians nec,full,2
442131,Allied Health Assistant,Allied Health/Therapy Aide; Allied Health/Therapy Assistant,,"Works under the delegation and supervision of an allied health professional to provide therapy and support to individuals and groups to protect, restore and maintain optimal function, and promote independence and wellbeing in various health, welfare and community settings.",,3,"Creates resources to enhance therapy programs and undertakes research as delegated by the allied health professional; Assists allied health professionals with therapy equipment and implementing programs; Completes delegated therapy interventions under the direct or indirect supervision of an allied health professional or in multidisciplinary teams; Observes patients' responses to therapy and reports any changes or concerns to therapists; Completes administrative tasks to support the allied health professional, including documenting therapy progress and maintaining documents as required",423314,Therapy Aide,full,3
442231,Assistant in Nursing,Assistant Nurse; Nursing Assistant,,Provides limited patient care under the direction of nursing staff in a hospital or aged care facility.,,4,"Supports patients with daily activities such as mobility and personal care; Follows therapy plans such as interventions, to assist patients; Observes and reports changes in patients' conditions, and reports complaints about care provided; Provides basic treatment and delivery of medications under the direction of nursing staff, including vaccinations; Participates in planning the care of patients and residents; Assists with rehabilitation exercises; Assists in workplace health and safety",423312,Nursing Support Worker,full,3
442331,Dental Assistant,Dental Nurse,,"Prepares patients for dental examination, and assists dental practitioners, Hygienists and Therapists in providing care and treatment.",,4,"Assists dental practitioners during dental procedures; Sterilises and prepares dental instruments and equipment; Takes and develops dental radiographs (X-rays); Prepares dental materials such as cements, impression materials and restorative materials; Provides fluoride therapy by applying remineralising solutions and desensitising agents; Educates patients about maintaining good oral health, along with oral health care procedures; Maintains and updates patient records and treatment plans; Applies infection control procedures in the dental practice; Orders and maintains dental supplies and equipment",423211,Dental Assistant,full,2
442431,Optical Dispenser,,,"Interprets optical prescriptions, and fits and services optical appliances such as spectacle frames and lenses.",Registration or licensing may be required.,3,"Interprets optical prescriptions and advises on eyewear selection; Takes measurements for proper fit of eyewear; Fits frames to ensure comfort and alignment; Dispenses and fits contact lenses, providing instructions on insertion, removal and care; Educates on eyewear maintenance, repairs eyewear and sells a range of optical goods",399913,Optical Dispenser / Dispensing Optician,full,1
442531,Patient Care Assistant,Health Care Assistant; Health Care Worker; Personal Care Assistant (Health),,"Provides general assistance, emotional support and personal care services to patients in a health care facility.",,4,"Assists with personal care needs such as showering, dressing, eating, mobility and communication; Negotiates with individuals and families regarding the acceptance of care provided; Participates in care planning; Supports a multidisciplinary team to adhere to health plans as directed by health care professionals; Observes and reports changes in patients' conditions; Reports complaints about care; Assists with rehabilitation exercises, basic treatment and delivery of medications",423313,Personal Care Assistant,full,4
442532,Patient Services Assistant,Hospital Orderly; Orderly; Patient Support Assistant; Theatre Orderly; Wardsperson,,"Assists with the provision of care to patients in a hospital by ensuring wards are neat and tidy, lifting and turning patients, transporting them in wheelchairs or on movable beds, and providing direct care and support.",,4,"Transports patients in wheelchairs or mobile beds; Provides safe patient handling and positioning in beds and transfers to and from beds; Undertakes general duties, ensuring hospital wards are clean, orderly and sanitised, maintaining infection control protocols; Provides direct care and support to patients, assisting with their personal needs such as showering and dressing; Stocks and replenishes supplies of medical equipment, and transfers items between departments or wards; Assists with the preparation and serving of patients' meals and beverages",423311,Hospital Orderly,full,3
442931,Patient Transport Officer,,,Provides transport services to and from health care facilities for non-emergency patients.,Registration or licensing is required.,4,"Provides routine and non-emergency transportation of patients to and from health care facilities; Transports essential equipment and materials, including wheelchairs and stretchers; Provides and administers basic care to non-emergency patients; Maintains comprehensive and accurate patient transport records; Works with patients, relatives, Health Professionals and other emergency service providers to ensure optimal patient care",411111,Ambulance Officer,full,2
442999,Patient and Health Care Assistants nec,,,This occupation group covers Patient and Health Care Assistants not elsewhere classified.,,4,,451899,Personal Service Workers nec,full,1
451131,Defence Force Member - Other Ranks,,Acoustic Warfare Analyst (Navy); Air Dispatcher (Army); Air Surveillance Operator (Air Force); Aircraft Life Support Fitter (Air Force); Aircrewman (Navy); Airfield Defence Guard (Air Force); Boatswains Mate (Navy); Combat Engineer (Army); Combat Systems Operator (Navy); Commando (Army); Marine Specialist (Army); Naval Police Coxswain (Navy); Operator Electronic Warfare (Army); Rifleman (Army),Provides specialised military services to the Australian Defence Force.,,3,"Guards airfields and other Defence Force bases as directed by superiors; Serves as an infantry soldier; Erects bridges, builds field defences, constructs temporary roads, clears minefields, repairs airfields, and demolishes targets using explosives; Crews armoured fighting vehicles; Operates artillery, ground and surface-based defence systems, shipboard weapons, and other advanced specialist military weapons and equipment; Provides firepower and ground-based air defence; Establishes and maintains command, control and communications equipment and facilities; Conducts surveillance, reconnaissance and boarding operations; Maintains personal arms and ammunition; Provides support in combat and non-combat operations such as peacekeeping and disaster recovery",441111,Defence Force Member - Other Ranks,full,35
451231,Emergency Services Officer,Emergency Response Officer; Emergency Service Worker,Medical Emergency Services Officer,Attends the scene of emergencies to minimise risk to community safety and security.,,3,"Responds in a timely and effective manner to emergency calls, and assesses the situation to ensure the safety of the community; Evacuates individuals from dangerous situations and provides support; Provides information and updates during emergencies to the community and stakeholders; Contributes to the development and implementation of emergency response plans; Inspects and maintains on-site emergency response equipment; May provide first aid to injured individuals",441211,Emergency Service Worker,full,26
451232,Firefighter,,Aviation Firefighter; Hazardous Materials Firefighter; Leading Firefighter,"Responds to fire alarms and emergency calls, controls and extinguishes fires, and protects life and property.",Registration or licensing may be required.,3,"Responds to fire alarms and emergency calls; Operates pumps, sprays water, foam and chemicals from hoses, portable extinguishers and other appliances to extinguish fires and to disperse or neutralise dangerous substances; Locates, rescues and evacuates people trapped in dangerous situations, and provides first aid and medical assistance to injured individuals; Visits buildings and potential fire hazards to study access points and locations of hydrants; Conducts fire prevention and safety education programs for the public; Maintains firefighting equipment and vehicles; Participates in firefighting training exercises, drills and demonstrations",441212,Fire Fighter,full,5
451331,General Duties Police Officer,,,"Maintains public order, protects life and property, prevents anti-social behaviour, and enforces laws by patrolling public areas, responding to reports of offences, and arresting suspected offenders.",,2,"Patrols public areas to engage with the community and gather information to prevent crime and improve public safety in accordance with legislation; Attends emergency calls, accidents and incidents, and manages the scene to preserve evidence; Identifies unsafe driver behaviour, records vehicle speeds, conducts vehicle stops and pullovers, and tests drivers suspected of drug and alcohol use; Assesses situations to determine if an offence has been committed and arrests suspected offenders; Conducts initial investigations, including gathering evidence, conducting interviews and undertaking searches; Manages people in police care or custody; Engages with individuals and the community to identify police services options to support their needs",441312,Police Officer,full,3
451931,Border Enforcement Operations Officer,,Marine Tactical Officer,"Applies customs and border protection controls such as inspecting goods for prohibited items or removing unlawful non-citizens, at air and sea terminals, wharves, depots, warehouses, specialised examination facilities, storage and disposal locations, immigration detention facilities, and in the maritime domain.",,2,"Inspects and searches vehicles, vessels and aircraft for prohibited items; Conducts interviews and gathers information from individuals to assess their immigration status, and identifies and removes unlawful non-citizens from the country; Applies customs and border protection controls in accordance with relevant legislation and policies to support the legal movement of passengers and cargo; Processes and records information related to customs and border protection activities; May monitor and patrol the maritime domain to detect and prevent illegal activities",599511; 599512,Customs Officer; Immigration Officer,partial,2
452131,Correctional Officer,Corrections Officer; Prison Officer,Custodial Officer,Supervises and controls the activities of inmates in a prison or other correctional institution.,,4,"Maintains security and order within a prison or other correctional institution; Inspects cells, common areas and facilities for weapons, drugs and other contraband items, and ensures compliance with institutional rules and regulations; Monitors inmate activities and behaviour, intervenes in situations that may pose a risk to safety or security, and prevents disturbances and escapes; Escorts inmates to and from various locations, such as medical facilities in the community, and the correctional institution; Provides support and guidance to inmates, including conflict resolution",442111,Prison Officer,full,8
452231,"Alarm, Security or Surveillance Monitor",,,"Monitors security alarms, closed-circuit television (CCTV) systems and other surveillance equipment, and contacts supervisors, police or fire brigades if security is breached or fire is detected.",Registration or licensing is required.,4,"Monitors security alarms, CCTV and other surveillance equipment; Contacts supervisors, police and fire brigades by radio or phone if security is breached or fire is detected; Observes and reports any suspicious activities or incidents; Maintains accurate records of security breaches and incidents; Operates and maintains security equipment and systems",442211,"Alarm, Security or Surveillance Monitor",full,5
452232,Cash In Transit Officer,,Armoured Car Escort,Provides escort for transportation and delivery of cash and other valuables.,Registration or licensing is required.,4,"Collects and ensures the safe transportation and delivery of cash, payrolls and valuables; Follows established procedures and protocols for the handling and transportation of cash and valuables; Monitors and maintains communication with control centre or base during transportation; Conducts regular inspections of vehicles and equipment to ensure they are in proper working order; Responds to emergency situations and takes appropriate action to protect cash and valuables; Maintains accurate records of all transactions and incidents during transportation; May transport cash and valuables in armoured vehicles or carry firearms",442212,Armoured Car Escort,full,0
452233,Crowd Controller,,,"Carries out crowd control duties at entertainment, sporting or recreational venues.",Registration or licensing is required.,4,"Monitors and controls the movement and behaviour of crowds at entertainment, sporting or recreational venues; Checks entrants, issues security passes and provides assistance and guidance to individuals requiring directions or information; Monitors and operates crowd control equipment, such as barriers and gates; Ensures compliance with venue rules and regulations; Identifies and resolves potential conflicts or disturbances within the crowd, including by removing people from the premises; Responds to and manages emergency situations, including evacuations and first aid; Maintains accurate records and reports of incidents and activities, which may include keeping count of people entering and exiting the venue",442213,Crowd Controller,full,1
452234,Private Investigator,,,"Conducts investigations for clients regarding legal, financial and personal matters, and prepares evidence for court proceedings.",Registration or licensing is required.,4,"Conducts interviews and gathers information from various sources, including public records and databases, to investigate cases regarding legal, financial and personal matters; Conducts surveillance and observes individuals to gather evidence; Makes enquiries concerning property and investigates insurance claims; Seeks, obtains and supplies information pertaining to the personal character, financial position, occupation or whereabouts of any person; Collects and analyses data and evidence, and prepares detailed reports and documentation of findings; Collaborates with law enforcement agencies and Legal Professionals; Testifies in court and presents evidence during legal proceedings; Maintains client confidentiality and ensures the security of sensitive information; Uses specialised equipment and technology, such as binoculars, microphones and video or audio recording devices to obtain evidence for investigations",442214,Private Investigator,full,2
452235,Protective Services Officer,,,"Maintains public order and enforces laws within designated locations, such as public transport infrastructure, government buildings, police stations, and large public venues and events.",,4,"Undertakes high visibility uniformed patrolling and guarding within designated locations; Watches for antisocial behaviour, property damage, threats to public safety, and alcohol and transport-related offences within designated locations; Conducts searches on people and vehicles, issues warnings and fines, and places people under arrest for suspected involvement in criminal activity within designated locations; Maintains order at large public events and venues, such as sporting events or concerts, by enforcing laws and event rules and regulations, resolving minor conflicts, and preventing or dispersing antisocial behaviour; Responds to and reports on incidents occurring within designated locations in accordance with police regulations and protocols, which may include the use of force, speaking with witnesses, and collecting data for evidence",442217,Security Officer,full,5
452236,Retail Loss Prevention Officer,,,"Detects and investigates shoplifting, fraud and other unlawful acts of employees or customers of a retail establishment.",Registration or licensing is required.,4,"Monitors and patrols retail premises to detect and prevent theft and other unlawful activities; Observes and identifies suspicious behaviour or activities of employees or customers, and detains individuals suspected of theft or other unlawful acts; Conducts investigations into incidents of theft, fraud or other unlawful activities, and collects and preserves evidence, including interviewing witnesses; Collaborates with law enforcement agencies to report and provide evidence of criminal activities; Implements security measures, such as CCTV surveillance and alarm systems; May conduct audits and inspections to identify vulnerabilities, and recommend security improvements; May provide training and education to retail staff on loss prevention strategies and procedures",442215,Retail Loss Prevention Officer,full,4
452237,Security Consultant,Security Adviser,,"Advises clients on security requirements, and recommends and designs security specifications.",Registration or licensing may be required.,3,"Conducts security assessments to identify potential risks and vulnerabilities; Develops security strategies and plans based on client needs and requirements; Recommends and designs security systems, including access control, surveillance and alarm systems; Provides advice and guidance to clients on security best practices; Assists in the implementation and testing of security measures; Conducts security audits and reviews to ensure compliance with regulations and standards; Provides training and education to clients on security awareness and procedures",442216; 442299,Security Consultant; Security Officers and Guards nec,partial,9
452238,Security Officer,Security Guard,Detention Security Officer; Hospital Security Officer; Mobile Patrol Officer,Patrols and guards industrial and commercial property and other facilities.,Registration or licensing is required.,4,"Undertakes patrols to ensure the security and safety of property and personnel, including checking doors, windows and gates for unauthorised entry, and watching for irregularities such as fire hazards, malfunctioning equipment and property damage; Operates security equipment, such as CCTV cameras and alarm systems; Responds to alarms, investigates and records disturbances, and reports any suspicious activities or incidents to appropriate authorities; Enforces security policies and procedures to maintain a secure environment, and conducts regular inspections of premises to identify and address security risks; Monitors and controls access and exit of persons and vehicles from premises, and monitors individuals and crowds for suspicious or disruptive behaviour; Provides assistance and support to staff and visitors during emergencies or security incidents; May use alarm, restraint and duress systems to manage, control and prevent aggressive and violent incidents, and ensure the safety of patients, staff and visitors in health service settings",442217,Security Officer,full,7
452241,Security Screening Officer,,Aviation Protection Officer; Court Security Officer,"Conducts screening of persons, items and cargo entering high security facilities to identify and remove dangerous or prohibited items, and ensure the security of the premises.",Registration or licensing is required.,4,"Controls access to, and conducts screening at, security checkpoints within high security facilities such as airports, ports and law courts; Uses X-ray equipment, body scanners, metal detectors, explosive trace detectors, and frisk or physical searches to screen visitors, parcels, staff, passengers, hand luggage and checked baggage for weapons, explosives and suspicious or prohibited items; Maintains security and order within and around high security zones and facilities, including by watching for irregularities, inspecting vehicles and responding to disturbances; Responds to security incidents, maintains detailed records and reports incidents to appropriate authorities; Complies with security and safety procedures and regulatory requirements; May monitor and maintain security within court rooms, and escort high risk persons within secure areas",442217,Security Officer,full,7
461131,Beauty Therapist,Beautician,Cosmetic Tattooist; Eyelash Technician; Manicurist; Nail Technician,"Provides skin care, beauty and body treatments to clients.",,3,"Performs a range of beauty treatments such as facials, spray tanning, eyebrow shaping and waxing; Administers body treatments such as massages, body wraps and scrubs; Conducts skin analyses to determine clients' skin type and condition, and uses superficial beauty devices to treat clients' skin; Advises on skincare routines and sells beauty products to clients; Maintains a clean and hygienic work area, and sterilises equipment in adherence to health regulations; May apply artificial beauty products such as nails or eyelashes; May perform cosmetic tattooing on clients",451111,Beauty Therapist,full,9
461132,Dermal Therapist,,,Performs treatments to maintain and enhance overall skin appearance.,,2,"Completes skin analysis and assessment to determine appropriate treatments for clients; Applies various dermal therapy treatments for skin rejuvenation, age management and acne treatments, such as microdermabrasion and cosmetic grade peels; Uses laser and intense pulsed light devices for hair reduction treatment; Provides non-invasive, superficial treatment of pigment and superficial vessels (telangiectasias); Performs a variety of non-surgical procedures within their scope to enhance skin appearance; Provides advice to clients on skincare and maintenance, including product recommendation",451111,Beauty Therapist,full,4
461231,Body Artist,,Body Piercer; Tattooist,"Decorates, adorns or modifies the human body permanently or temporarily using a range of techniques such as tattooing, piercing and skin modification.",Registration or licensing may be required.,4,"Consults with clients to determine their desired body art design; Prepares clients' skin for the chosen body art technique; Applies permanent tattoos by inserting ink under layers of skin; Paints or dyes skin to create temporary body art designs; Pierces skin to implant jewellery and other biocompatible materials; Modifies the shape of the skin through cutting, branding, manipulating, stretching and scarring techniques; Uses scalpel, heat and restraining techniques to create patterns in the skin",451814,Body Artist,full,2
461232,Make-up Artist,,Make-up Artist (Performing Arts),Designs and applies make-up products and techniques to transform or enhance the features of individuals.,,3,"Designs make-up looks that align with clients' requests, events or themes; Prepares clients' skin by cleansing, moisturising and using appropriate primers; Chooses make-up shades that complement clients' skin tone, eye colour and outfits; Applies make-up products such as foundation, concealer, eyeshadow, eyeliner, mascara and lipstick; May create special effects or creative designs using prosthetics, scars and other effects to transform an actor into a character; May perform basic hairstyling, such as arranging hair for a specific look, or building, styling and fitting wigs",399514,Make Up Artist,full,6
461331,Civil Celebrant,,,"Conducts civil marriage ceremonies, funerals, commitment ceremonies, namings and other ceremonies, and maintains appropriate records.",Registration or licensing is required.,3,"Meets with clients to discuss ceremony requirements and preferences; Assists clients in planning and designing personalised ceremonies; Conducts civil marriage ceremonies, ensuring all legal requirements are met; Conducts funeral ceremonies and provides comfort to grieving families; Conducts commitment ceremonies and other significant life event ceremonies; Maintains accurate records of all ceremonies performed; Stays updated on laws and regulations related to civil ceremonies",451811,Civil Celebrant,full,1
461332,Funeral Director,Mortician; Undertaker,,Plans and coordinates arrangements for funerals according to the wishes of the deceased or their relatives.,Registration or licensing may be required.,2,"Consults with family or friends of the deceased to determine their wishes for the funeral; Provides guidance and support in making funeral arrangements; Coordinates with relevant parties, such as cemeteries, crematoriums and clergy, to arrange burial or cremation; Schedules funeral services and speakers; Arranges for the purchase of caskets, urns and other funeral merchandise; Organises transportation of the deceased's body to the funeral location; Oversees the setup and decoration of the funeral venue; Provides support and comfort to grieving family members and friends; May prepare the deceased for viewing or burial",451311,Funeral Director,full,5
461333,Funeral Worker,,Embalmer; Funeral Director's Assistant,Assists in the preparation of funerals and maintenance of funeral venues.,Registration or licensing may be required.,4,"Assists Funeral Directors to plan, coordinate and run funeral services; Sets up and decorates the funeral venue; Transports the deceased to and from funeral homes, hospitals and other locations; Cleans and maintains funeral homes and equipment; May assist in preparing the deceased for viewing, burial or cremation",451399; 731199,Funeral Workers nec; Automobile Drivers nec,partial,5
461431,Dog Walker,,,Walks dogs for exercise on behalf of owners.,,5,Walks dogs for exercise; Transports dogs safely and securely between homes and exercise locations; Ensures health and safety of dogs under their care; Encourages good behaviour and applies positive reward methods to dogs in public settings; Cleans up waste and follows council guidelines; Evaluates situations to ensure own personal safety,451899,Personal Service Workers nec,full,2
461432,Domestic Animal Attendant,Kennel Hand,,"Provides routine care for domestic animals, including feeding, exercising, monitoring their health and cleaning the shelter areas.",,4,"Feeds and waters animals according to their individual dietary requirements; Exercises animals regularly to ensure their physical and mental well being; Transfers animals between enclosures by leading or carrying them; Cleans and maintains kennels, cages and enclosures to ensure a safe environment for animals; Provides basic grooming for animals, such as brushing and bathing; Monitors the health of animals, treats minor injuries, and reports any health concerns; Administers medications or treatments to animals as directed by a Veterinarian; Ensures adherence to infection control procedures",361115; 361199,Kennel Hand; Animal Attendants and Trainers nec,partial,4
461433,Pet Groomer,,,"Washes, dries, brushes, combs, cuts and styles pets' coats, clips their nails and cleans their ears.",,4,"Washes, shampoos and dries pets' coats; Brushes and combs pets' coats to remove tangles and mats; Trims and cuts pets' coats to desired length and style; Clips pets' nails to ensure they are an appropriate length; Cleans pets' ears to remove dirt and debris; Identifies health issues in pets, such as ear infections, skin conditions or tooth decay, and informs pet owners; Provides services such as teeth brushing and anal gland expression; Maintains cleanliness and hygiene of grooming tools and equipment; Provides advice and recommendations to pet owners regarding grooming techniques and products",361113,Pet Groomer,full,1
461499,Domestic Animal Care Workers nec,,,This occupation group covers Domestic Animal Care Workers not elsewhere classified.,,4,,361199,Animal Attendants and Trainers nec,full,5
461531,Driving Instructor,,Motorcycle Riding Instructor,Instructs individuals and groups in the theory and application of driving motor vehicles.,Registration or licensing is required.,3,Provides instruction to individuals on the theory and practical application of driving motor vehicles; Demonstrates the correct techniques for operating motor vehicles; Assesses the driving skills and knowledge of learner drivers to determine their readiness for licensing; Conducts driving lessons in a safe environment; Provides feedback and guidance to improve driving skills; Keeps accurate records of learner progress; Stays updated on road rules and driving regulations,451211,Driving Instructor,full,1
461631,Gallery or Museum Guide,Gallery or Museum Assistant; Gallery or Museum Attendant; Visitor Services Officer (Gallery or Museum),,Answers enquiries and directs and guides visitors in a gallery or museum.,,4,"Meets and greets visitors, and provides general information about gallery or museum policies and programs; Controls visitors' access to exhibits and monitors entrances, exits, stairwells and other public areas; Ensures safety of collections; Maintains records of attendance, memberships, donations and other statistics as needed; Conducts detailed tours of exhibits for visitors, providing context and background information to enhance their understanding of the material on display; May assist with installing and dismantling exhibits",451411,Gallery or Museum Guide,full,10
